time,voc_message
1765294844455741595,Temp: 31.09 °C  Hum: 63.16%  VOC: 50.89 kΩ
1765294845824669023,Temp: 31.09 °C  Hum: 63.13%  VOC: 51.78 kΩ
1765294847193731173,Temp: 31.09 °C  Hum: 63.12%  VOC: 52.30 kΩ
1765294848564324855,Temp: 31.09 °C  Hum: 63.09%  VOC: 52.30 kΩ
1765294849931878937,Temp: 31.09 °C  Hum: 63.09%  VOC: 52.60 kΩ
1765294851300626477,Temp: 31.09 °C  Hum: 63.08%  VOC: 52.80 kΩ
1765294852669693016,Temp: 31.10 °C  Hum: 63.07%  VOC: 53.24 kΩ
1765294854038409760,Temp: 31.10 °C  Hum: 63.07%  VOC: 53.44 kΩ
1765294855408959164,Temp: 31.10 °C  Hum: 63.07%  VOC: 53.65 kΩ
1765294856776935429,Temp: 31.10 °C  Hum: 63.06%  VOC: 54.10 kΩ
1765294858146355022,Temp: 31.10 °C  Hum: 63.06%  VOC: 54.39 kΩ
1765294859514539713,Temp: 31.10 °C  Hum: 63.06%  VOC: 54.32 kΩ
1765294860884152620,Temp: 31.10 °C  Hum: 63.07%  VOC: 54.46 kΩ
1765294862253192122,Temp: 31.10 °C  Hum: 63.05%  VOC: 54.67 kΩ
1765294863621626275,Temp: 31.11 °C  Hum: 63.06%  VOC: 54.93 kΩ
1765294864990848110,Temp: 31.11 °C  Hum: 63.05%  VOC: 55.26 kΩ
1765294866359906278,Temp: 31.11 °C  Hum: 63.05%  VOC: 55.22 kΩ
1765294867729001928,Temp: 31.11 °C  Hum: 63.06%  VOC: 55.33 kΩ
1765294869097790283,Temp: 31.11 °C  Hum: 63.03%  VOC: 55.66 kΩ
1765294870466728230,Temp: 31.11 °C  Hum: 63.05%  VOC: 55.85 kΩ
1765294871836087861,Temp: 31.11 °C  Hum: 63.03%  VOC: 56.00 kΩ
1765294873205619935,Temp: 31.11 °C  Hum: 63.02%  VOC: 56.57 kΩ
1765294874574106847,Temp: 31.12 °C  Hum: 63.01%  VOC: 56.80 kΩ
1765294875942718443,Temp: 31.12 °C  Hum: 62.99%  VOC: 57.16 kΩ
1765294877312179962,Temp: 31.12 °C  Hum: 62.96%  VOC: 57.75 kΩ
1765294878680860706,Temp: 31.12 °C  Hum: 62.96%  VOC: 58.32 kΩ
1765294880050739705,Temp: 31.12 °C  Hum: 62.94%  VOC: 58.57 kΩ
1765294881418996580,Temp: 31.12 °C  Hum: 62.93%  VOC: 59.44 kΩ
1765294882788076212,Temp: 31.13 °C  Hum: 62.92%  VOC: 59.11 kΩ
1765294884157197677,Temp: 31.13 °C  Hum: 62.90%  VOC: 59.44 kΩ
1765294885525851828,Temp: 31.13 °C  Hum: 62.91%  VOC: 59.53 kΩ
1765294886895783031,Temp: 31.13 °C  Hum: 62.91%  VOC: 59.87 kΩ
1765294888263908314,Temp: 31.13 °C  Hum: 62.90%  VOC: 59.62 kΩ
1765294889633304093,Temp: 31.13 °C  Hum: 62.89%  VOC: 59.74 kΩ
1765294891002621279,Temp: 31.13 °C  Hum: 62.90%  VOC: 59.70 kΩ
1765294892373603274,Temp: 31.14 °C  Hum: 62.88%  VOC: 60.00 kΩ
1765294893742369592,Temp: 31.14 °C  Hum: 62.90%  VOC: 60.31 kΩ
1765294895108913529,Temp: 31.14 °C  Hum: 62.90%  VOC: 60.48 kΩ
1765294896478125642,Temp: 31.14 °C  Hum: 62.88%  VOC: 60.48 kΩ
1765294897847268532,Temp: 31.14 °C  Hum: 62.89%  VOC: 60.48 kΩ
1765294899216494608,Temp: 31.14 °C  Hum: 62.88%  VOC: 60.88 kΩ
1765294900584953223,Temp: 31.14 °C  Hum: 62.90%  VOC: 61.20 kΩ
1765294901954470483,Temp: 31.14 °C  Hum: 62.89%  VOC: 61.06 kΩ
1765294903323591633,Temp: 31.14 °C  Hum: 62.89%  VOC: 61.24 kΩ
1765294904692775264,Temp: 31.14 °C  Hum: 62.89%  VOC: 61.56 kΩ
1765294906061408119,Temp: 31.15 °C  Hum: 62.89%  VOC: 61.42 kΩ
1765294907430360862,Temp: 31.15 °C  Hum: 62.89%  VOC: 61.56 kΩ
1765294908799424050,Temp: 31.15 °C  Hum: 62.89%  VOC: 62.34 kΩ
1765294910168124423,Temp: 31.15 °C  Hum: 62.89%  VOC: 62.34 kΩ
1765294911537500980,Temp: 31.15 °C  Hum: 62.89%  VOC: 62.58 kΩ
1765294912907885977,Temp: 31.15 °C  Hum: 62.89%  VOC: 62.39 kΩ
1765294914276062167,Temp: 31.15 °C  Hum: 62.89%  VOC: 62.30 kΩ
1765294915644469449,Temp: 31.15 °C  Hum: 62.89%  VOC: 63.05 kΩ
1765294917013564544,Temp: 31.15 °C  Hum: 62.89%  VOC: 62.67 kΩ
1765294918382298251,Temp: 31.15 °C  Hum: 62.89%  VOC: 62.77 kΩ
1765294919751830159,Temp: 31.16 °C  Hum: 62.90%  VOC: 62.77 kΩ
1765294921120483532,Temp: 31.16 °C  Hum: 62.89%  VOC: 62.77 kΩ
1765294922489500257,Temp: 31.16 °C  Hum: 62.90%  VOC: 63.15 kΩ
1765294923859373164,Temp: 31.16 °C  Hum: 62.90%  VOC: 63.97 kΩ
1765294925227702150,Temp: 31.16 °C  Hum: 62.89%  VOC: 64.97 kΩ
1765294926599006329,Temp: 31.16 °C  Hum: 62.90%  VOC: 64.97 kΩ
1765294927965831987,Temp: 31.16 °C  Hum: 62.90%  VOC: 64.92 kΩ
1765294929334622434,Temp: 31.16 °C  Hum: 62.89%  VOC: 65.23 kΩ
1765294930703599177,Temp: 31.16 °C  Hum: 62.89%  VOC: 64.92 kΩ
1765294932072713753,Temp: 31.16 °C  Hum: 62.92%  VOC: 65.23 kΩ
1765294933441746607,Temp: 31.16 °C  Hum: 62.91%  VOC: 64.62 kΩ
1765294934810462703,Temp: 31.17 °C  Hum: 62.92%  VOC: 64.62 kΩ
1765294936179712816,Temp: 31.17 °C  Hum: 62.90%  VOC: 64.92 kΩ
1765294937548527170,Temp: 31.17 °C  Hum: 62.91%  VOC: 64.62 kΩ
1765294938917826394,Temp: 31.17 °C  Hum: 62.94%  VOC: 64.77 kΩ
1765294940287003951,Temp: 31.17 °C  Hum: 62.92%  VOC: 64.82 kΩ
